IT_NO ID LIQUIDITY WEEKLY_CONSUMPTION_BUDGET money_to_spend money_spent
5 748 -1.379111 0.600658 0.600658 0.000000
5 749 -1.379111 0.600658 0.600658 0.000000
5 751 -1.379111 0.600658 0.600658 0.000000
5 752 -1.379111 0.600658 0.600658 0.000000
5 755 -1.379111 0.600658 0.600658 0.000000
5 770 -1.379111 0.600658 0.600658 0.000000
5 779 -1.379111 0.600658 0.600658 0.000000
5 788 -1.379111 0.600658 0.600658 0.000000
5 791 -1.379111 0.600658 0.600658 0.000000
5 796 -1.048934 0.225658 0.225658 0.000000
5 797 -1.379111 0.600658 0.600658 0.000000
5 801 -1.379111 0.600658 0.600658 0.000000
5 820 -1.379111 0.600658 0.600658 0.000000
5 743 -1.379111 0.600658 0.600658 0.000000
5 740 12.494804 1.096177 1.096177 1.094617
5 738 12.494804 1.096177 1.096177 1.094617
5 733 12.494804 1.096177 1.096177 1.094617
5 732 12.494804 1.096177 1.096177 1.094617
5 728 13.208662 0.721177 0.721177 0.710937
5 724 12.494804 1.096177 1.096177 1.094617
5 721 12.494804 1.096177 1.096177 1.094617
5 718 12.494804 1.096177 1.096177 1.094617
5 702 12.494804 1.096177 1.096177 1.094617
5 690 12.494804 1.096177 1.096177 1.094617
5 686 12.494804 1.096177 1.096177 1.094617
5 681 12.494804 1.096177 1.096177 1.094617
5 670 12.494804 1.096177 1.096177 1.094617
5 659 13.581057 0.346177 0.346177 0.338541
5 650 12.494804 1.096177 1.096177 1.094617
5 647 13.208662 0.721177 0.721177 0.710937
5 632 13.208662 0.721177 0.721177 0.710937
5 630 12.494804 1.096177 1.096177 1.094617
5 628 12.494804 1.096177 1.096177 1.094617
5 627 12.494804 1.096177 1.096177 1.094617
5 624 12.494804 1.096177 1.096177 1.094617
5 619 13.581057 0.346177 0.346177 0.338541
5 611 13.208662 0.721177 0.721177 0.710937
5 609 12.494804 1.096177 1.096177 1.094617
5 607 12.494804 1.096177 1.096177 1.094617
5 597 12.494804 1.096177 1.096177 1.094617
5 596 12.494804 1.096177 1.096177 1.094617
5 592 12.494804 1.096177 1.096177 1.094617
5 572 12.494804 1.096177 1.096177 1.094617
5 567 12.494804 1.096177 1.096177 1.094617
5 562 12.494804 1.096177 1.096177 1.094617
5 561 12.494804 1.096177 1.096177 1.094617
5 555 12.494804 1.096177 1.096177 1.094617
5 554 12.494804 1.096177 1.096177 1.094617
5 542 12.494804 1.096177 1.096177 1.094617
5 538 13.208662 0.721177 0.721177 0.710937
5 536 12.494804 1.096177 1.096177 1.094617
5 529 12.494804 1.096177 1.096177 1.094617
5 525 12.494804 1.096177 1.096177 1.094617
5 519 12.494804 1.096177 1.096177 1.094617
5 518 12.494804 1.096177 1.096177 1.094617
5 512 12.494804 1.096177 1.096177 1.094617
5 511 12.494804 1.096177 1.096177 1.094617
5 508 12.494804 1.096177 1.096177 1.094617
5 507 12.494804 1.096177 1.096177 1.094617
5 505 12.494804 1.096177 1.096177 1.094617
5 501 12.494804 1.096177 1.096177 1.094617
5 496 12.494804 1.096177 1.096177 1.094617
5 495 12.494804 1.096177 1.096177 1.094617
5 486 12.494804 1.096177 1.096177 1.094617
5 481 12.494804 1.096177 1.096177 1.094617
5 476 12.494804 1.096177 1.096177 1.094617
5 462 12.494804 1.096177 1.096177 1.094617
5 445 12.494804 1.096177 1.096177 1.094617
5 444 12.494804 1.096177 1.096177 1.094617
