IT_NO ID MORTGAGES LOANS DEPOSITS INTERESTS_ACCRUED TOTAL_WRITEOFFS
1 21 80259.017532 9913.583333 5180.200000 352.241667 0.000000
1 22 91835.744649 14480.250000 5536.150000 426.450000 0.000000
2 21 80259.017532 9913.583333 5180.200000 352.241667 0.000000
2 22 91835.744649 14480.250000 5536.150000 426.450000 0.000000
3 21 80259.017532 9913.583333 5180.200000 352.241667 0.000000
3 22 91835.744649 14480.250000 5536.150000 426.450000 0.000000
4 21 80259.017532 9913.583333 5180.200000 352.241667 0.000000
4 22 91835.744649 14480.250000 5536.150000 426.450000 0.000000
5 21 80259.017532 9913.583333 3331.457128 352.241667 0.000000
5 22 91835.744649 14480.250000 4289.291222 426.450000 0.000000
6 21 80259.017532 9913.583333 3331.457128 352.241667 0.000000
6 22 91835.744649 14480.250000 4289.291222 426.450000 0.000000
7 21 80259.017532 9913.583333 3331.457128 352.241667 0.000000
7 22 91835.744649 14480.250000 4289.291222 426.450000 0.000000
8 21 80259.017532 9913.583333 3331.457128 352.241667 0.000000
8 22 91835.744649 14480.250000 4289.291222 426.450000 0.000000
9 21 80259.017532 9913.583333 3331.457128 352.241667 0.000000
9 22 91835.744649 14480.250000 4289.291222 426.450000 0.000000
10 21 80259.017532 9913.583333 3299.389895 352.241667 0.000000
10 22 91835.744649 14480.250000 4321.358455 426.450000 0.000000
11 21 80259.017532 9913.583333 3299.389895 352.241667 0.000000
11 22 91835.744649 14480.250000 4321.358455 426.450000 0.000000
12 21 80259.017532 9913.583333 3299.389895 352.241667 0.000000
12 22 91835.744649 14480.250000 4321.358455 426.450000 0.000000
13 21 80259.017532 9913.583333 3299.389895 352.241667 0.000000
13 22 91835.744649 14480.250000 4321.358455 426.450000 0.000000
14 21 80259.017532 9913.583333 3299.389895 352.241667 0.000000
14 22 91835.744649 14480.250000 4321.358455 426.450000 0.000000
15 21 80259.017532 9913.583333 3271.678028 352.241667 0.000000
15 22 91835.744649 14480.250000 4349.070322 426.450000 0.000000
16 21 80259.017532 9913.583333 3271.678028 352.241667 0.000000
16 22 91835.744649 14480.250000 4349.070322 426.450000 0.000000
17 21 80259.017532 9913.583333 3271.678028 352.241667 0.000000
17 22 91835.744649 14480.250000 4349.070322 426.450000 0.000000
18 21 80259.017532 9913.583333 3271.678028 352.241667 0.000000
18 22 91835.744649 14480.250000 4349.070322 426.450000 0.000000
19 21 80259.017532 9913.583333 3271.678028 352.241667 0.000000
19 22 91835.744649 14480.250000 4349.070322 426.450000 0.000000
20 21 80259.017532 9913.583333 3593.176940 352.241667 0.000000
20 22 91835.744649 14480.250000 4556.583958 426.450000 0.000000
21 21 68466.398452 9913.583333 3593.176940 608.917374 531.167589
21 22 78872.991221 14480.250000 4556.583958 716.109340 177.055863
22 21 68466.398452 9913.583333 3593.176940 608.917374 531.167589
22 22 78872.991221 14480.250000 4556.583958 716.109340 177.055863
23 21 68466.398452 9913.583333 3593.176940 608.917374 531.167589
23 22 78872.991221 14480.250000 4556.583958 716.109340 177.055863
24 21 68466.398452 9913.583333 3593.176940 608.917374 531.167589
24 22 78872.991221 14480.250000 4556.583958 716.109340 177.055863
25 21 68466.398452 9913.583333 2222.808823 608.917374 531.167589
25 22 78872.991221 14480.250000 3267.044703 716.109340 177.055863
26 21 68466.398452 9913.583333 2222.808823 608.917374 531.167589
26 22 78872.991221 14480.250000 3267.044703 716.109340 177.055863
