IT_NO ID ISLIQUIDSHORT HASLOAN HASINVESTMENT LIQUIDITY_NEED ISINSOLVENT ISILLIQUID TOTAL_ASSETS LIQUIDITY INVENTORY UNIT_GOODS_PRICE CAPITAL_GOODS_PRICE CAPITAL_GOODS PHYSICAL_CAPITAL DEBT EQUITY
1 15 1 1 0 0.000000 0 0 1900.640000 0.000000 4600 0.005600 0.560000 3348 3348 1544.833333 355.806667
1 14 1 1 0 0.000000 0 0 2231.600000 0.000000 5400 0.005600 0.560000 3931 3931 1813.500000 418.100000
1 13 1 1 0 0.000000 0 0 2810.080000 0.000000 6800 0.005600 0.560000 4950 4950 2283.666667 526.413333
1 12 1 1 0 0.000000 0 0 2685.760000 0.000000 6500 0.005600 0.560000 4731 4731 2182.916667 502.843333
1 11 1 1 0 0.000000 0 0 2396.800000 0.000000 5800 0.005600 0.560000 4222 4222 1947.833333 448.966667
1 10 1 1 0 0.000000 0 0 1446.480000 0.000000 3500 0.005600 0.560000 2548 2548 1175.416667 271.063333
1 9 1 1 0 0.000000 0 0 2396.800000 0.000000 5800 0.005600 0.560000 4222 4222 1947.833333 448.966667
1 8 1 1 0 0.000000 0 0 1859.760000 0.000000 4500 0.005600 0.560000 3276 3276 1511.250000 348.510000
1 7 1 1 0 0.000000 0 0 2892.400000 0.000000 7000 0.005600 0.560000 5095 5095 2350.833333 541.566667
1 6 1 1 0 0.000000 0 0 2355.360000 0.000000 5700 0.005600 0.560000 4149 4149 1914.250000 441.110000
1 5 1 1 0 0.000000 0 0 2024.960000 0.000000 4900 0.005600 0.560000 3567 3567 1645.583333 379.376667
1 4 1 1 0 0.000000 0 0 2313.920000 0.000000 5600 0.005600 0.560000 4076 4076 1880.666667 433.253333
61 14 0 0 0 0.000000 0 0 2201.360000 -0.000000 0 0.005611 0.560000 3931 3931 1813.500000 387.860000
61 13 0 0 0 0.000000 0 0 2772.000000 -0.000000 0 0.005611 0.560000 4950 4950 2283.666667 488.333333
61 11 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.005612 0.560000 4222 4222 1947.833333 416.486667
61 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.005612 0.560000 4222 4222 1947.833333 416.486667
61 15 0 0 0 0.000000 0 0 1874.880000 0.000000 0 0.005656 0.560000 3348 3348 1544.833333 330.046667
61 10 0 0 0 0.000000 0 0 1426.880000 -0.000000 0 0.005652 0.560000 2548 2548 1175.416667 251.463333
61 8 0 0 0 0.000000 0 0 1834.560000 0.000000 0 0.005659 0.560000 3276 3276 1511.250000 323.310000
61 5 0 0 0 0.000000 0 0 1997.520000 0.000000 0 0.005658 0.560000 3567 3567 1645.583333 351.936667
61 4 0 0 0 0.000000 0 0 2282.560000 0.000000 0 0.005612 0.560000 4076 4076 1880.666667 401.893333
61 12 0 0 0 0.000000 0 0 2649.360000 -0.000000 0 0.005610 0.560000 4731 4731 2182.916667 466.443333
61 6 0 0 0 0.000000 0 0 2323.440000 0.000000 0 0.005612 0.560000 4149 4149 1914.250000 409.190000
61 7 0 0 0 0.000000 0 0 2853.200000 0.000000 0 0.005609 0.560000 5095 5095 2350.833333 502.366667
121 4 0 0 0 0.000000 0 0 2282.560000 0.000000 0 0.005721 0.560000 4076 4076 1880.666667 401.893333
121 5 0 0 0 0.000000 0 0 1997.520000 -0.000000 0 0.005681 0.560000 3567 3567 1645.583333 351.936667
121 12 0 0 0 0.000000 0 0 2649.360000 -0.000000 0 0.005715 0.560000 4731 4731 2182.916667 466.443333
121 9 0 0 0 0.000000 0 0 2364.320000 0.000000 0 0.005719 0.560000 4222 4222 1947.833333 416.486667
